Date;Heure;Température (°C);Humidité (%);Précipitations (mm)
2025-01-01;00:00;3.8;98;0.0
2025-01-01;03:00;3.0;97;0.0
2025-01-01;06:00;3.7;97;-0.1
2025-01-01;09:00;4.7;94;0.0
2025-01-01;12:00;6.2;90;0.0
2025-01-01;15:00;7.4;84;0.0
2025-01-01;18:00;7.3;86;0.0
2025-01-01;21:00;7.2;90;0.0
