Date;Température min (°C);Température max (°C);Humidité (%);GDD;GDD cumulés
2025-01-01;-7.5;31.0;83.7741935483871;1.75;1.75
2025-01-02;-2.2999999999999545;31.700000000000045;83.85553047404063;4.7000000000000455;6.4500000000000455
2025-01-03;-4.0;31.400000000000034;83.85111111111111;3.700000000000017;10.150000000000063
2025-01-04;-6.899999999999977;31.200000000000045;85.24666666666667;2.150000000000034;12.300000000000097
2025-01-05;-2.1999999999999886;31.400000000000034;84.68061674008811;4.600000000000023;16.90000000000012
2025-01-06;-5.899999999999977;31.100000000000023;78.57555555555555;2.6000000000000227;19.500000000000142
2025-01-07;-5.599999999999966;30.400000000000034;79.48222222222222;2.400000000000034;21.900000000000176
2025-01-08;-5.599999999999966;31.0;83.23250564334086;2.700000000000017;24.600000000000193
2025-01-09;-5.099999999999966;31.0;82.25112107623319;2.950000000000017;27.55000000000021
2025-01-10;-4.599999999999966;31.900000000000034;84.72444444444444;3.650000000000034;31.200000000000244
2025-01-11;-5.899999999999977;31.900000000000034;85.33184855233853;3.0000000000000284;34.20000000000027
2025-01-12;-6.2999999999999545;31.0;79.06013363028953;2.3500000000000227;36.550000000000296
2025-01-13;-10.0;31.0;76.13716814159292;0.5;37.050000000000296
2025-01-14;-11.199999999999989;31.100000000000023;78.61399548532731;0.0;37.050000000000296
2025-01-15;-10.199999999999989;31.200000000000045;82.9092970521542;0.5000000000000284;37.550000000000324
2025-01-16;-4.7999999999999545;31.200000000000045;83.12584269662922;3.2000000000000455;40.75000000000037
2025-01-17;-8.199999999999989;31.100000000000023;82.04434589800444;1.450000000000017;42.20000000000039
2025-01-18;-8.5;31.30000000000001;82.24618736383442;1.4000000000000057;43.60000000000039
2025-01-19;-6.099999999999966;31.30000000000001;82.42572062084257;2.6000000000000227;46.200000000000415
2025-01-20;-5.0;30.200000000000045;84.93468468468468;2.6000000000000227;48.80000000000044
2025-01-21;-6.5;30.30000000000001;85.52045454545454;1.9000000000000057;50.70000000000044
2025-01-22;-7.7999999999999545;30.30000000000001;87.51677852348993;1.2500000000000284;51.95000000000047
2025-01-23;-9.0;30.200000000000045;84.5111111111111;0.6000000000000227;52.550000000000495
2025-01-24;-6.199999999999989;30.200000000000045;79.43790849673202;2.0000000000000284;54.55000000000052
2025-01-25;-5.099999999999966;30.30000000000001;79.87280701754386;2.6000000000000227;57.150000000000546
2025-01-26;-4.099999999999966;29.700000000000045;80.10714285714286;2.80000000000004;59.950000000000585
2025-01-27;-4.099999999999966;30.100000000000023;80.179203539823;3.0000000000000284;62.950000000000614
2025-01-28;-4.099999999999966;31.100000000000023;79.27455357142857;3.5000000000000284;66.45000000000064
2025-01-29;-6.099999999999966;31.30000000000001;80.44977168949772;2.6000000000000227;69.05000000000067
2025-01-30;-6.099999999999966;31.30000000000001;81.67333333333333;2.6000000000000227;71.65000000000069
2025-01-31;-8.899999999999977;30.700000000000045;82.59423503325942;0.9000000000000341;72.55000000000072
